sample_id,roll,frequency,relative_frequency
sample_1,1,157,0.157
sample_1,2,174,0.174
sample_1,3,151,0.151
sample_1,4,184,0.184
sample_1,5,158,0.158
sample_1,6,176,0.176
sample_2,1,132,0.132
sample_2,2,156,0.156
sample_2,3,168,0.168
sample_2,4,193,0.193
sample_2,5,156,0.156
sample_2,6,195,0.195
sample_3,1,154,0.154
sample_3,2,144,0.144
sample_3,3,183,0.183
sample_3,4,188,0.188
sample_3,5,137,0.137
sample_3,6,194,0.194
sample_4,1,150,0.15
sample_4,2,174,0.174
sample_4,3,145,0.145
sample_4,4,175,0.175
sample_4,5,162,0.162
sample_4,6,194,0.194
sample_5,1,148,0.148
sample_5,2,161,0.161
sample_5,3,167,0.167
sample_5,4,182,0.182
sample_5,5,168,0.168
sample_5,6,174,0.174
