sample_size,seed,mean_abs_difference_from_generating_distribution
60,701,0.03888888888888889
60,711,0.031111111111111114
60,721,0.035555555555555556
60,731,0.04555555555555555
60,741,0.02333333333333334
200,701,0.008333333333333331
200,711,0.015
200,721,0.016666666666666666
200,731,0.021666666666666667
200,741,0.02
1000,701,0.011666666666666667
1000,711,0.00866666666666667
1000,721,0.00966666666666667
1000,731,0.009999999999999995
1000,741,0.01099999999999999
5000,701,0.002466666666666668
5000,711,0.004000000000000008
5000,721,0.0032666666666666677
5000,731,0.00393333333333334
5000,741,0.0042
