sample_id,seed,delivery_id,zone,delivery_time_min,delayed
sample_1,704,D0001,central,30.5,False
sample_1,704,D0002,central,21.6,False
sample_1,704,D0003,central,37.3,False
sample_1,704,D0004,central,81.4,True
sample_1,704,D0005,central,26.2,False
sample_1,704,D0006,remote,42.1,False
sample_1,704,D0007,central,26.4,False
sample_1,704,D0008,central,77.9,True
sample_1,704,D0009,suburban,25.8,False
sample_1,704,D0010,suburban,44.0,False
sample_1,704,D0011,central,22.6,False
sample_1,704,D0012,suburban,41.4,False
sample_1,704,D0013,central,29.1,False
sample_1,704,D0014,central,13.5,False
sample_1,704,D0015,suburban,50.3,False
sample_1,704,D0016,central,14.3,False
sample_1,704,D0017,remote,25.0,False
sample_1,704,D0018,central,47.8,False
sample_1,704,D0019,suburban,20.0,False
sample_1,704,D0020,suburban,20.4,False
sample_1,704,D0021,suburban,35.9,False
sample_1,704,D0022,central,42.1,False
sample_1,704,D0023,remote,33.7,False
sample_1,704,D0024,central,37.5,False
sample_1,704,D0025,suburban,21.0,False
sample_1,704,D0026,suburban,15.7,False
sample_1,704,D0027,central,23.9,False
sample_1,704,D0028,suburban,38.5,False
sample_1,704,D0029,suburban,41.4,False
sample_1,704,D0030,suburban,49.6,False
sample_1,704,D0031,central,67.0,True
sample_1,704,D0032,central,33.8,False
sample_1,704,D0033,remote,22.3,False
sample_1,704,D0034,central,54.7,False
sample_1,704,D0035,suburban,27.7,False
sample_1,704,D0036,remote,40.3,False
sample_1,704,D0037,remote,45.7,False
sample_1,704,D0038,remote,46.6,False
sample_1,704,D0039,suburban,28.0,False
sample_1,704,D0040,suburban,20.3,False
sample_1,704,D0041,remote,36.9,False
sample_1,704,D0042,central,13.5,False
sample_1,704,D0043,suburban,61.3,True
sample_1,704,D0044,central,10.9,False
sample_1,704,D0045,central,57.5,False
sample_1,704,D0046,suburban,17.1,False
sample_1,704,D0047,central,42.8,False
sample_1,704,D0048,central,25.9,False
sample_1,704,D0049,suburban,29.7,False
sample_1,704,D0050,central,20.5,False
sample_1,704,D0051,suburban,23.2,False
sample_1,704,D0052,remote,20.9,False
sample_1,704,D0053,remote,31.9,False
sample_1,704,D0054,suburban,46.5,False
sample_1,704,D0055,central,56.0,False
sample_1,704,D0056,central,60.1,True
sample_1,704,D0057,remote,17.8,False
sample_1,704,D0058,suburban,44.6,False
sample_1,704,D0059,suburban,31.5,False
sample_1,704,D0060,central,24.0,False
sample_1,704,D0061,central,118.6,True
sample_1,704,D0062,central,52.0,False
sample_1,704,D0063,suburban,28.5,False
sample_1,704,D0064,central,47.8,False
sample_1,704,D0065,central,58.5,False
sample_1,704,D0066,remote,36.4,False
sample_1,704,D0067,central,37.9,False
sample_1,704,D0068,central,14.6,False
sample_1,704,D0069,central,30.5,False
sample_1,704,D0070,suburban,32.8,False
sample_1,704,D0071,central,42.4,False
sample_1,704,D0072,central,23.1,False
sample_1,704,D0073,suburban,35.4,False
sample_1,704,D0074,suburban,42.8,False
sample_1,704,D0075,suburban,15.7,False
sample_1,704,D0076,remote,48.6,False
sample_1,704,D0077,suburban,33.6,False
sample_1,704,D0078,suburban,31.5,False
sample_1,704,D0079,central,112.8,True
sample_1,704,D0080,central,24.5,False
sample_1,704,D0081,central,10.8,False
sample_1,704,D0082,central,17.6,False
sample_1,704,D0083,central,19.4,False
sample_1,704,D0084,suburban,36.6,False
sample_1,704,D0085,central,63.4,True
sample_1,704,D0086,suburban,26.2,False
sample_1,704,D0087,suburban,25.6,False
sample_1,704,D0088,central,40.8,False
sample_1,704,D0089,central,32.9,False
sample_1,704,D0090,suburban,19.3,False
sample_1,704,D0091,central,23.1,False
sample_1,704,D0092,suburban,16.9,False
sample_1,704,D0093,suburban,38.7,False
sample_1,704,D0094,suburban,31.1,False
sample_1,704,D0095,suburban,32.1,False
sample_1,704,D0096,suburban,14.6,False
sample_1,704,D0097,central,42.0,False
sample_1,704,D0098,suburban,17.1,False
sample_1,704,D0099,central,51.6,False
sample_1,704,D0100,suburban,40.2,False
sample_1,704,D0101,central,29.9,False
sample_1,704,D0102,suburban,19.5,False
sample_1,704,D0103,central,32.6,False
sample_1,704,D0104,suburban,36.6,False
sample_1,704,D0105,suburban,14.8,False
sample_1,704,D0106,central,18.7,False
sample_1,704,D0107,suburban,19.9,False
sample_1,704,D0108,suburban,38.6,False
sample_1,704,D0109,remote,36.5,False
sample_1,704,D0110,suburban,11.3,False
sample_1,704,D0111,central,33.8,False
sample_1,704,D0112,central,37.7,False
sample_1,704,D0113,suburban,88.1,True
sample_1,704,D0114,remote,19.0,False
sample_1,704,D0115,remote,22.5,False
sample_1,704,D0116,remote,29.0,False
sample_1,704,D0117,central,32.8,False
sample_1,704,D0118,central,29.5,False
sample_1,704,D0119,central,32.1,False
sample_1,704,D0120,remote,16.0,False
sample_1,704,D0121,central,25.9,False
sample_1,704,D0122,central,24.7,False
sample_1,704,D0123,central,82.8,True
sample_1,704,D0124,suburban,33.5,False
sample_1,704,D0125,remote,36.9,False
sample_1,704,D0126,suburban,81.9,True
sample_1,704,D0127,remote,30.6,False
sample_1,704,D0128,suburban,35.4,False
sample_1,704,D0129,central,20.0,False
sample_1,704,D0130,suburban,41.9,False
sample_1,704,D0131,suburban,48.8,False
sample_1,704,D0132,suburban,46.3,False
sample_1,704,D0133,central,43.1,False
sample_1,704,D0134,central,41.5,False
sample_1,704,D0135,central,17.5,False
sample_1,704,D0136,central,40.8,False
sample_1,704,D0137,suburban,46.8,False
sample_1,704,D0138,central,24.0,False
sample_1,704,D0139,suburban,40.5,False
sample_1,704,D0140,remote,27.9,False
sample_1,704,D0141,central,36.7,False
sample_1,704,D0142,central,17.8,False
sample_1,704,D0143,remote,56.9,False
sample_1,704,D0144,central,122.6,True
sample_1,704,D0145,remote,19.1,False
sample_1,704,D0146,remote,74.9,True
sample_1,704,D0147,suburban,21.9,False
sample_1,704,D0148,suburban,120.2,True
sample_1,704,D0149,central,18.8,False
sample_1,704,D0150,suburban,20.2,False
sample_1,704,D0151,central,40.2,False
sample_1,704,D0152,remote,49.7,False
sample_1,704,D0153,suburban,65.2,True
sample_1,704,D0154,central,28.2,False
sample_1,704,D0155,central,22.3,False
sample_1,704,D0156,suburban,33.0,False
sample_1,704,D0157,suburban,52.2,False
sample_1,704,D0158,remote,23.8,False
sample_1,704,D0159,remote,28.1,False
sample_1,704,D0160,suburban,19.4,False
sample_1,704,D0161,remote,44.2,False
sample_1,704,D0162,central,62.1,True
sample_1,704,D0163,remote,19.4,False
sample_1,704,D0164,central,24.2,False
sample_1,704,D0165,remote,28.1,False
sample_1,704,D0166,remote,43.7,False
sample_1,704,D0167,suburban,29.9,False
sample_1,704,D0168,central,27.6,False
sample_1,704,D0169,central,55.9,False
sample_1,704,D0170,suburban,24.4,False
sample_1,704,D0171,remote,35.7,False
sample_1,704,D0172,suburban,40.1,False
sample_1,704,D0173,central,76.0,True
sample_1,704,D0174,suburban,69.0,True
sample_1,704,D0175,remote,70.4,True
sample_1,704,D0176,central,23.1,False
sample_1,704,D0177,remote,46.1,False
sample_1,704,D0178,central,23.5,False
sample_1,704,D0179,suburban,36.2,False
sample_1,704,D0180,suburban,49.4,False
sample_1,704,D0181,suburban,26.5,False
sample_1,704,D0182,suburban,21.7,False
sample_1,704,D0183,central,47.8,False
sample_1,704,D0184,remote,59.8,False
sample_1,704,D0185,suburban,33.1,False
sample_1,704,D0186,central,40.6,False
sample_1,704,D0187,suburban,151.0,True
sample_1,704,D0188,central,48.0,False
sample_1,704,D0189,central,72.6,True
sample_1,704,D0190,suburban,19.6,False
sample_1,704,D0191,central,75.5,True
sample_1,704,D0192,remote,63.2,True
sample_1,704,D0193,remote,57.2,False
sample_1,704,D0194,central,31.8,False
sample_1,704,D0195,central,16.9,False
sample_1,704,D0196,central,25.5,False
sample_1,704,D0197,remote,27.1,False
sample_1,704,D0198,remote,41.1,False
sample_1,704,D0199,suburban,27.6,False
sample_1,704,D0200,central,37.8,False
sample_1,704,D0201,central,39.6,False
sample_1,704,D0202,suburban,14.2,False
sample_1,704,D0203,central,232.5,True
sample_1,704,D0204,suburban,33.0,False
sample_1,704,D0205,suburban,61.4,True
sample_1,704,D0206,central,89.6,True
sample_1,704,D0207,central,15.3,False
sample_1,704,D0208,suburban,46.9,False
sample_1,704,D0209,remote,19.0,False
sample_1,704,D0210,suburban,16.9,False
sample_1,704,D0211,central,32.0,False
sample_1,704,D0212,remote,37.4,False
sample_1,704,D0213,remote,48.3,False
sample_1,704,D0214,central,18.7,False
sample_1,704,D0215,central,22.5,False
sample_1,704,D0216,central,18.2,False
sample_1,704,D0217,suburban,18.1,False
sample_1,704,D0218,central,30.2,False
sample_1,704,D0219,remote,27.1,False
sample_1,704,D0220,suburban,33.3,False
sample_1,704,D0221,central,29.6,False
sample_1,704,D0222,central,41.5,False
sample_1,704,D0223,central,33.4,False
sample_1,704,D0224,suburban,41.5,False
sample_1,704,D0225,central,25.5,False
sample_1,704,D0226,suburban,33.8,False
sample_1,704,D0227,suburban,37.5,False
sample_1,704,D0228,suburban,25.8,False
sample_1,704,D0229,suburban,40.4,False
sample_1,704,D0230,suburban,53.8,False
sample_1,704,D0231,central,18.4,False
sample_1,704,D0232,central,34.1,False
sample_1,704,D0233,suburban,18.8,False
sample_1,704,D0234,central,18.2,False
sample_1,704,D0235,central,41.4,False
sample_1,704,D0236,central,47.4,False
sample_1,704,D0237,suburban,38.9,False
sample_1,704,D0238,suburban,35.3,False
sample_1,704,D0239,remote,128.1,True
sample_1,704,D0240,central,23.3,False
sample_1,704,D0241,suburban,27.0,False
sample_1,704,D0242,suburban,48.4,False
sample_1,704,D0243,suburban,32.6,False
sample_1,704,D0244,suburban,40.3,False
sample_1,704,D0245,suburban,48.4,False
sample_1,704,D0246,central,19.0,False
sample_1,704,D0247,suburban,32.1,False
sample_1,704,D0248,central,34.0,False
sample_1,704,D0249,remote,33.3,False
sample_1,704,D0250,central,27.1,False
sample_1,704,D0251,suburban,37.7,False
sample_1,704,D0252,suburban,25.3,False
sample_1,704,D0253,central,32.8,False
sample_1,704,D0254,suburban,36.6,False
sample_1,704,D0255,suburban,38.6,False
