sample_id,seed,customer_id,age_group,channel,satisfaction,renewed
sample_1,705,C0001,26-40,phone,4,True
sample_1,705,C0002,18-25,website,3,True
sample_1,705,C0003,41-60,phone,5,True
sample_1,705,C0004,18-25,phone,3,True
sample_1,705,C0005,41-60,phone,4,False
sample_1,705,C0006,60+,mobile_app,4,True
sample_1,705,C0007,18-25,website,5,True
sample_1,705,C0008,18-25,website,4,True
sample_1,705,C0009,41-60,website,4,False
sample_1,705,C0010,41-60,mobile_app,4,True
sample_1,705,C0011,26-40,website,3,False
sample_1,705,C0012,60+,website,2,True
sample_1,705,C0013,18-25,mobile_app,3,True
sample_1,705,C0014,41-60,mobile_app,5,True
sample_1,705,C0015,60+,mobile_app,3,True
sample_1,705,C0016,60+,mobile_app,3,True
sample_1,705,C0017,26-40,website,5,True
sample_1,705,C0018,18-25,mobile_app,4,True
sample_1,705,C0019,26-40,website,5,True
sample_1,705,C0020,18-25,website,4,True
sample_1,705,C0021,26-40,website,4,True
sample_1,705,C0022,18-25,website,4,True
sample_1,705,C0023,41-60,mobile_app,5,True
sample_1,705,C0024,26-40,mobile_app,3,True
sample_1,705,C0025,26-40,website,4,False
sample_1,705,C0026,41-60,mobile_app,4,True
sample_1,705,C0027,18-25,website,3,True
sample_1,705,C0028,26-40,website,3,True
sample_1,705,C0029,41-60,website,2,False
sample_1,705,C0030,26-40,website,3,False
sample_1,705,C0031,41-60,website,4,True
sample_1,705,C0032,26-40,mobile_app,4,True
sample_1,705,C0033,41-60,website,3,True
sample_1,705,C0034,60+,phone,3,False
sample_1,705,C0035,26-40,website,3,True
sample_1,705,C0036,18-25,mobile_app,3,False
sample_1,705,C0037,26-40,website,3,False
sample_1,705,C0038,41-60,phone,2,False
sample_1,705,C0039,26-40,mobile_app,4,True
sample_1,705,C0040,41-60,website,3,True
sample_1,705,C0041,26-40,phone,3,True
sample_1,705,C0042,41-60,mobile_app,3,True
sample_1,705,C0043,26-40,phone,2,True
sample_1,705,C0044,41-60,mobile_app,4,True
sample_1,705,C0045,26-40,website,4,False
sample_1,705,C0046,26-40,mobile_app,4,True
sample_1,705,C0047,41-60,website,4,False
sample_1,705,C0048,41-60,mobile_app,3,True
sample_1,705,C0049,41-60,mobile_app,5,True
sample_1,705,C0050,41-60,website,3,True
sample_1,705,C0051,41-60,website,2,True
sample_1,705,C0052,41-60,website,5,True
sample_1,705,C0053,41-60,website,3,True
sample_1,705,C0054,26-40,mobile_app,4,True
sample_1,705,C0055,26-40,mobile_app,2,True
sample_1,705,C0056,41-60,mobile_app,4,True
sample_1,705,C0057,26-40,website,2,True
sample_1,705,C0058,26-40,website,2,False
sample_1,705,C0059,26-40,mobile_app,4,True
sample_1,705,C0060,26-40,website,4,True
sample_1,705,C0061,26-40,website,4,True
sample_1,705,C0062,18-25,mobile_app,5,True
sample_1,705,C0063,26-40,phone,3,False
sample_1,705,C0064,26-40,phone,3,True
sample_1,705,C0065,41-60,mobile_app,5,True
sample_1,705,C0066,41-60,website,3,False
sample_1,705,C0067,41-60,website,5,True
sample_1,705,C0068,41-60,mobile_app,4,True
sample_1,705,C0069,18-25,mobile_app,4,True
sample_1,705,C0070,26-40,phone,3,False
sample_1,705,C0071,26-40,phone,4,True
sample_1,705,C0072,26-40,website,3,False
sample_1,705,C0073,41-60,website,3,False
sample_1,705,C0074,26-40,mobile_app,5,True
sample_1,705,C0075,26-40,website,3,True
sample_1,705,C0076,60+,phone,4,True
sample_1,705,C0077,41-60,mobile_app,5,True
