sample_id,seed,part_id,machine,length_mm,deviation_from_target,within_spec
sample_1,706,P0001,M1,50.122,0.122,True
sample_1,706,P0002,M1,49.887,-0.113,True
sample_1,706,P0003,M1,50.1,0.1,True
sample_1,706,P0004,M1,50.074,0.074,True
sample_1,706,P0005,M1,50.276,0.276,True
sample_1,706,P0006,M1,49.937,-0.063,True
sample_1,706,P0007,M1,50.277,0.277,True
sample_1,706,P0008,M1,51.041,1.041,True
sample_1,706,P0009,M1,49.549,-0.451,True
sample_1,706,P0010,M1,49.615,-0.385,True
sample_1,706,P0011,M1,50.445,0.445,True
sample_1,706,P0012,M1,49.493,-0.507,True
sample_1,706,P0013,M1,49.604,-0.396,True
sample_1,706,P0014,M1,49.253,-0.747,True
sample_1,706,P0015,M1,50.407,0.407,True
sample_1,706,P0016,M1,50.362,0.362,True
sample_1,706,P0017,M1,50.553,0.553,True
sample_1,706,P0018,M1,48.625,-1.375,True
sample_1,706,P0019,M1,49.979,-0.021,True
sample_1,706,P0020,M1,50.639,0.639,True
sample_1,706,P0021,M1,50.182,0.182,True
sample_1,706,P0022,M1,49.587,-0.413,True
sample_1,706,P0023,M1,49.643,-0.357,True
sample_1,706,P0024,M1,51.11,1.11,True
sample_1,706,P0025,M1,50.59,0.59,True
sample_1,706,P0026,M1,49.662,-0.338,True
sample_1,706,P0027,M1,49.86,-0.14,True
sample_1,706,P0028,M1,50.634,0.634,True
sample_1,706,P0029,M1,50.598,0.598,True
sample_1,706,P0030,M1,50.785,0.785,True
sample_1,706,P0031,M1,48.785,-1.215,True
sample_1,706,P0032,M1,48.91,-1.09,True
sample_1,706,P0033,M1,49.553,-0.447,True
sample_1,706,P0034,M1,49.374,-0.626,True
sample_1,706,P0035,M1,51.003,1.003,True
sample_1,706,P0036,M1,50.799,0.799,True
sample_1,706,P0037,M1,50.488,0.488,True
sample_1,706,P0038,M1,50.236,0.236,True
sample_1,706,P0039,M1,50.439,0.439,True
sample_1,706,P0040,M1,50.524,0.524,True
sample_1,706,P0041,M1,50.175,0.175,True
sample_1,706,P0042,M1,50.419,0.419,True
sample_1,706,P0043,M1,49.714,-0.286,True
sample_1,706,P0044,M1,49.029,-0.971,True
sample_1,706,P0045,M1,50.526,0.526,True
sample_1,706,P0046,M1,49.393,-0.607,True
sample_1,706,P0047,M1,50.554,0.554,True
sample_1,706,P0048,M1,50.027,0.027,True
sample_1,706,P0049,M1,50.018,0.018,True
sample_1,706,P0050,M1,49.933,-0.067,True
sample_1,706,P0051,M1,49.744,-0.256,True
sample_1,706,P0052,M1,50.547,0.547,True
sample_1,706,P0053,M1,50.37,0.37,True
sample_1,706,P0054,M1,50.882,0.882,True
sample_1,706,P0055,M1,50.198,0.198,True
sample_1,706,P0056,M1,49.152,-0.848,True
sample_1,706,P0057,M1,49.96,-0.04,True
sample_1,706,P0058,M1,49.467,-0.533,True
sample_1,706,P0059,M1,49.753,-0.247,True
sample_1,706,P0060,M1,49.63,-0.37,True
sample_1,706,P0061,M1,49.636,-0.364,True
sample_1,706,P0062,M1,49.613,-0.387,True
sample_1,706,P0063,M1,50.435,0.435,True
sample_1,706,P0064,M1,49.319,-0.681,True
sample_1,706,P0065,M1,50.791,0.791,True
sample_1,706,P0066,M1,49.625,-0.375,True
sample_1,706,P0067,M1,50.089,0.089,True
sample_1,706,P0068,M1,49.946,-0.054,True
sample_1,706,P0069,M1,50.204,0.204,True
sample_1,706,P0070,M1,50.201,0.201,True
sample_1,706,P0071,M1,50.236,0.236,True
sample_1,706,P0072,M1,50.14,0.14,True
sample_1,706,P0073,M1,49.963,-0.037,True
sample_1,706,P0074,M1,50.657,0.657,True
sample_1,706,P0075,M1,49.833,-0.167,True
sample_1,706,P0076,M1,50.778,0.778,True
sample_1,706,P0077,M1,50.332,0.332,True
sample_1,706,P0078,M1,49.849,-0.151,True
sample_1,706,P0079,M1,49.529,-0.471,True
sample_1,706,P0080,M1,49.845,-0.155,True
sample_1,706,P0081,M1,50.025,0.025,True
sample_1,706,P0082,M1,49.774,-0.226,True
sample_1,706,P0083,M1,50.605,0.605,True
sample_1,706,P0084,M1,49.952,-0.048,True
sample_1,706,P0085,M1,51.136,1.136,True
sample_1,706,P0086,M1,50.199,0.199,True
sample_1,706,P0087,M1,49.596,-0.404,True
sample_1,706,P0088,M1,48.728,-1.272,True
sample_1,706,P0089,M1,50.008,0.008,True
sample_1,706,P0090,M1,50.099,0.099,True
sample_1,706,P0091,M1,49.846,-0.154,True
sample_1,706,P0092,M1,49.909,-0.091,True
sample_1,706,P0093,M1,50.043,0.043,True
sample_1,706,P0094,M1,50.262,0.262,True
sample_1,706,P0095,M1,49.867,-0.133,True
sample_1,706,P0096,M1,49.91,-0.09,True
sample_1,706,P0097,M1,49.373,-0.627,True
sample_1,706,P0098,M1,50.845,0.845,True
sample_1,706,P0099,M1,51.099,1.099,True
sample_1,706,P0100,M1,49.376,-0.624,True
sample_1,706,P0101,M1,49.473,-0.527,True
sample_1,706,P0102,M1,49.948,-0.052,True
sample_1,706,P0103,M1,49.776,-0.224,True
sample_1,706,P0104,M1,50.427,0.427,True
sample_1,706,P0105,M1,49.802,-0.198,True
sample_1,706,P0106,M1,50.615,0.615,True
sample_1,706,P0107,M1,49.461,-0.539,True
sample_1,706,P0108,M1,50.178,0.178,True
sample_1,706,P0109,M1,49.474,-0.526,True
sample_1,706,P0110,M1,50.259,0.259,True
sample_1,706,P0111,M1,50.732,0.732,True
sample_1,706,P0112,M1,50.1,0.1,True
sample_1,706,P0113,M1,50.63,0.63,True
sample_1,706,P0114,M1,49.816,-0.184,True
sample_1,706,P0115,M1,49.842,-0.158,True
sample_1,706,P0116,M1,50.522,0.522,True
sample_1,706,P0117,M1,50.31,0.31,True
sample_1,706,P0118,M1,49.377,-0.623,True
sample_1,706,P0119,M1,50.609,0.609,True
sample_1,706,P0120,M1,49.822,-0.178,True
sample_1,706,P0121,M1,49.965,-0.035,True
sample_1,706,P0122,M1,48.99,-1.01,True
sample_1,706,P0123,M1,50.088,0.088,True
sample_1,706,P0124,M1,49.496,-0.504,True
sample_1,706,P0125,M1,50.166,0.166,True
sample_1,706,P0126,M1,49.289,-0.711,True
sample_1,706,P0127,M1,49.826,-0.174,True
sample_1,706,P0128,M1,49.007,-0.993,True
sample_1,706,P0129,M1,50.215,0.215,True
sample_1,706,P0130,M1,50.371,0.371,True
sample_1,706,P0131,M1,49.61,-0.39,True
sample_1,706,P0132,M1,49.46,-0.54,True
sample_1,706,P0133,M1,49.122,-0.878,True
sample_1,706,P0134,M1,50.276,0.276,True
sample_1,706,P0135,M1,49.658,-0.342,True
sample_1,706,P0136,M1,50.186,0.186,True
sample_1,706,P0137,M1,49.346,-0.654,True
sample_1,706,P0138,M1,50.725,0.725,True
sample_1,706,P0139,M1,49.888,-0.112,True
sample_1,706,P0140,M1,49.286,-0.714,True
sample_1,706,P0141,M1,49.221,-0.779,True
sample_1,706,P0142,M1,49.645,-0.355,True
sample_1,706,P0143,M1,50.181,0.181,True
sample_1,706,P0144,M1,48.92,-1.08,True
sample_1,706,P0145,M1,50.592,0.592,True
sample_1,706,P0146,M1,49.844,-0.156,True
sample_1,706,P0147,M1,49.322,-0.678,True
sample_1,706,P0148,M1,50.9,0.9,True
sample_1,706,P0149,M1,49.567,-0.433,True
sample_1,706,P0150,M1,49.721,-0.279,True
sample_1,706,P0151,M1,49.096,-0.904,True
sample_1,706,P0152,M1,49.469,-0.531,True
sample_1,706,P0153,M1,50.312,0.312,True
sample_1,706,P0154,M1,50.593,0.593,True
sample_1,706,P0155,M1,49.455,-0.545,True
sample_1,706,P0156,M1,49.577,-0.423,True
sample_1,706,P0157,M1,50.601,0.601,True
sample_1,706,P0158,M1,49.519,-0.481,True
sample_1,706,P0159,M1,49.219,-0.781,True
sample_1,706,P0160,M1,49.567,-0.433,True
sample_1,706,P0161,M1,50.081,0.081,True
sample_1,706,P0162,M1,50.298,0.298,True
sample_1,706,P0163,M1,50.277,0.277,True
sample_1,706,P0164,M1,49.277,-0.723,True
sample_1,706,P0165,M1,49.673,-0.327,True
sample_1,706,P0166,M1,50.245,0.245,True
sample_1,706,P0167,M1,50.354,0.354,True
sample_1,706,P0168,M1,49.474,-0.526,True
sample_1,706,P0169,M1,50.011,0.011,True
sample_1,706,P0170,M1,50.403,0.403,True
sample_1,706,P0171,M1,51.006,1.006,True
sample_1,706,P0172,M1,49.793,-0.207,True
sample_1,706,P0173,M1,50.093,0.093,True
sample_1,706,P0174,M1,49.283,-0.717,True
sample_1,706,P0175,M1,50.533,0.533,True
sample_1,706,P0176,M1,50.398,0.398,True
sample_1,706,P0177,M1,49.024,-0.976,True
sample_1,706,P0178,M1,49.752,-0.248,True
sample_1,706,P0179,M1,50.62,0.62,True
sample_1,706,P0180,M1,50.419,0.419,True
sample_1,706,P0181,M2,50.129,0.129,True
sample_1,706,P0182,M2,51.424,1.424,True
sample_1,706,P0183,M2,51.743,1.743,False
sample_1,706,P0184,M2,51.548,1.548,False
sample_1,706,P0185,M2,49.8,-0.2,True
sample_1,706,P0186,M2,51.387,1.387,True
sample_1,706,P0187,M2,51.438,1.438,True
sample_1,706,P0188,M2,50.181,0.181,True
sample_1,706,P0189,M2,49.704,-0.296,True
sample_1,706,P0190,M2,51.6,1.6,False
sample_1,706,P0191,M2,50.426,0.426,True
sample_1,706,P0192,M2,51.152,1.152,True
sample_1,706,P0193,M2,51.273,1.273,True
sample_1,706,P0194,M2,49.906,-0.094,True
sample_1,706,P0195,M2,49.081,-0.919,True
sample_1,706,P0196,M2,51.164,1.164,True
sample_1,706,P0197,M2,50.462,0.462,True
sample_1,706,P0198,M2,50.505,0.505,True
sample_1,706,P0199,M2,49.508,-0.492,True
sample_1,706,P0200,M2,51.01,1.01,True
sample_1,706,P0201,M2,50.329,0.329,True
sample_1,706,P0202,M2,50.459,0.459,True
sample_1,706,P0203,M2,50.422,0.422,True
sample_1,706,P0204,M2,49.74,-0.26,True
sample_1,706,P0205,M2,49.845,-0.155,True
sample_1,706,P0206,M2,49.704,-0.296,True
sample_1,706,P0207,M2,49.599,-0.401,True
sample_1,706,P0208,M2,49.782,-0.218,True
sample_1,706,P0209,M2,49.827,-0.173,True
sample_1,706,P0210,M2,49.603,-0.397,True
sample_1,706,P0211,M2,51.317,1.317,True
sample_1,706,P0212,M2,50.821,0.821,True
sample_1,706,P0213,M2,50.808,0.808,True
sample_1,706,P0214,M2,50.029,0.029,True
sample_1,706,P0215,M2,50.145,0.145,True
sample_1,706,P0216,M2,50.255,0.255,True
sample_1,706,P0217,M2,49.916,-0.084,True
sample_1,706,P0218,M2,50.517,0.517,True
sample_1,706,P0219,M2,50.322,0.322,True
sample_1,706,P0220,M2,50.566,0.566,True
sample_1,706,P0221,M2,50.904,0.904,True
sample_1,706,P0222,M2,51.404,1.404,True
sample_1,706,P0223,M2,50.328,0.328,True
sample_1,706,P0224,M2,49.944,-0.056,True
sample_1,706,P0225,M2,50.075,0.075,True
sample_1,706,P0226,M2,50.905,0.905,True
sample_1,706,P0227,M2,50.548,0.548,True
sample_1,706,P0228,M2,50.554,0.554,True
sample_1,706,P0229,M2,49.837,-0.163,True
sample_1,706,P0230,M2,50.43,0.43,True
sample_1,706,P0231,M2,50.638,0.638,True
sample_1,706,P0232,M2,49.178,-0.822,True
sample_1,706,P0233,M2,50.108,0.108,True
sample_1,706,P0234,M2,49.944,-0.056,True
sample_1,706,P0235,M2,49.985,-0.015,True
sample_1,706,P0236,M2,50.944,0.944,True
sample_1,706,P0237,M2,50.517,0.517,True
sample_1,706,P0238,M2,50.502,0.502,True
sample_1,706,P0239,M2,51.42,1.42,True
sample_1,706,P0240,M2,51.421,1.421,True
sample_1,706,P0241,M2,49.57,-0.43,True
sample_1,706,P0242,M2,48.26,-1.74,False
sample_1,706,P0243,M2,49.342,-0.658,True
sample_1,706,P0244,M2,52.083,2.083,False
sample_1,706,P0245,M2,50.466,0.466,True
sample_1,706,P0246,M2,51.056,1.056,True
sample_1,706,P0247,M2,49.839,-0.161,True
sample_1,706,P0248,M2,49.289,-0.711,True
sample_1,706,P0249,M2,49.155,-0.845,True
sample_1,706,P0250,M2,49.652,-0.348,True
sample_1,706,P0251,M2,50.17,0.17,True
sample_1,706,P0252,M2,49.891,-0.109,True
sample_1,706,P0253,M2,51.021,1.021,True
sample_1,706,P0254,M2,49.909,-0.091,True
sample_1,706,P0255,M2,48.813,-1.187,True
sample_1,706,P0256,M2,49.622,-0.378,True
sample_1,706,P0257,M2,51.778,1.778,False
sample_1,706,P0258,M2,49.626,-0.374,True
sample_1,706,P0259,M2,49.93,-0.07,True
sample_1,706,P0260,M2,50.979,0.979,True
sample_1,706,P0261,M2,50.903,0.903,True
sample_1,706,P0262,M2,50.889,0.889,True
sample_1,706,P0263,M2,50.243,0.243,True
sample_1,706,P0264,M2,50.573,0.573,True
sample_1,706,P0265,M2,50.361,0.361,True
sample_1,706,P0266,M2,50.981,0.981,True
sample_1,706,P0267,M2,47.873,-2.127,False
sample_1,706,P0268,M2,49.825,-0.175,True
sample_1,706,P0269,M2,50.687,0.687,True
sample_1,706,P0270,M2,50.721,0.721,True
sample_1,706,P0271,M2,51.81,1.81,False
sample_1,706,P0272,M2,50.469,0.469,True
sample_1,706,P0273,M2,51.929,1.929,False
sample_1,706,P0274,M2,50.523,0.523,True
sample_1,706,P0275,M2,48.912,-1.088,True
sample_1,706,P0276,M2,49.575,-0.425,True
sample_1,706,P0277,M2,50.678,0.678,True
sample_1,706,P0278,M2,49.245,-0.755,True
sample_1,706,P0279,M2,49.607,-0.393,True
sample_1,706,P0280,M2,49.896,-0.104,True
sample_1,706,P0281,M2,51.551,1.551,False
sample_1,706,P0282,M2,49.121,-0.879,True
sample_1,706,P0283,M2,48.798,-1.202,True
sample_1,706,P0284,M2,49.997,-0.003,True
sample_1,706,P0285,M2,49.527,-0.473,True
sample_1,706,P0286,M2,49.761,-0.239,True
sample_1,706,P0287,M2,49.904,-0.096,True
sample_1,706,P0288,M2,50.1,0.1,True
sample_1,706,P0289,M2,50.869,0.869,True
sample_1,706,P0290,M2,49.571,-0.429,True
sample_1,706,P0291,M2,49.558,-0.442,True
sample_1,706,P0292,M2,49.875,-0.125,True
sample_1,706,P0293,M2,50.851,0.851,True
sample_1,706,P0294,M2,49.279,-0.721,True
sample_1,706,P0295,M2,50.926,0.926,True
sample_1,706,P0296,M2,50.497,0.497,True
sample_1,706,P0297,M2,50.108,0.108,True
sample_1,706,P0298,M2,50.423,0.423,True
sample_1,706,P0299,M2,50.658,0.658,True
sample_1,706,P0300,M2,49.728,-0.272,True
sample_1,706,P0301,M2,52.054,2.054,False
sample_1,706,P0302,M2,50.69,0.69,True
sample_1,706,P0303,M2,49.966,-0.034,True
sample_1,706,P0304,M2,50.693,0.693,True
sample_1,706,P0305,M2,50.016,0.016,True
sample_1,706,P0306,M2,49.616,-0.384,True
sample_1,706,P0307,M2,50.183,0.183,True
sample_1,706,P0308,M2,50.493,0.493,True
sample_1,706,P0309,M2,50.947,0.947,True
sample_1,706,P0310,M2,50.635,0.635,True
sample_1,706,P0311,M2,50.772,0.772,True
sample_1,706,P0312,M2,49.981,-0.019,True
sample_1,706,P0313,M2,49.962,-0.038,True
sample_1,706,P0314,M2,50.862,0.862,True
sample_1,706,P0315,M2,49.825,-0.175,True
sample_1,706,P0316,M2,50.805,0.805,True
sample_1,706,P0317,M2,50.295,0.295,True
sample_1,706,P0318,M2,51.071,1.071,True
sample_1,706,P0319,M2,49.319,-0.681,True
sample_1,706,P0320,M2,50.206,0.206,True
sample_1,706,P0321,M2,50.093,0.093,True
sample_1,706,P0322,M2,50.285,0.285,True
sample_1,706,P0323,M2,49.079,-0.921,True
sample_1,706,P0324,M2,50.909,0.909,True
sample_1,706,P0325,M2,51.452,1.452,True
sample_1,706,P0326,M2,50.05,0.05,True
sample_1,706,P0327,M2,49.345,-0.655,True
sample_1,706,P0328,M2,50.758,0.758,True
sample_1,706,P0329,M2,50.725,0.725,True
sample_1,706,P0330,M2,50.338,0.338,True
sample_1,706,P0331,M2,50.629,0.629,True
sample_1,706,P0332,M2,48.863,-1.137,True
sample_1,706,P0333,M2,50.012,0.012,True
sample_1,706,P0334,M2,48.821,-1.179,True
sample_1,706,P0335,M2,49.621,-0.379,True
sample_1,706,P0336,M2,50.266,0.266,True
sample_1,706,P0337,M2,49.334,-0.666,True
sample_1,706,P0338,M2,52.189,2.189,False
sample_1,706,P0339,M2,50.054,0.054,True
sample_1,706,P0340,M2,50.0,0.0,True
sample_1,706,P0341,M2,49.697,-0.303,True
sample_1,706,P0342,M2,49.784,-0.216,True
sample_1,706,P0343,M2,50.553,0.553,True
sample_1,706,P0344,M2,50.341,0.341,True
sample_1,706,P0345,M2,49.773,-0.227,True
sample_1,706,P0346,M2,50.235,0.235,True
sample_1,706,P0347,M2,50.821,0.821,True
sample_1,706,P0348,M2,52.314,2.314,False
