day_type,hour,average_requests
weekday,0,1.3333
weekday,1,1.8095
weekday,2,1.381
weekday,3,1.1905
weekday,4,1.2381
weekday,5,1.0
weekday,6,1.0
weekday,7,1.0952
weekday,8,7.8571
weekday,9,7.1905
weekday,10,7.0476
weekday,11,8.6667
weekday,12,7.5714
weekday,13,7.7143
weekday,14,7.9048
weekday,15,7.0
weekday,16,7.5238
weekday,17,6.7619
weekday,18,4.1429
weekday,19,4.1905
weekday,20,4.5238
weekday,21,4.4762
weekday,22,0.8095
weekday,23,0.8571
weekend,0,0.7778
weekend,1,0.5556
weekend,2,1.4444
weekend,3,1.2222
weekend,4,0.7778
weekend,5,1.2222
weekend,6,0.8889
weekend,7,0.8889
weekend,8,3.7778
weekend,9,3.4444
weekend,10,3.0
weekend,11,4.0
weekend,12,3.7778
weekend,13,5.1111
weekend,14,3.6667
weekend,15,5.4444
weekend,16,3.5556
weekend,17,4.8889
weekend,18,3.8889
weekend,19,3.6667
weekend,20,3.6667
weekend,21,3.4444
weekend,22,1.1111
weekend,23,0.7778
