date,day_type,daily_total_requests
2026-03-01,weekend,57
2026-03-02,weekday,109
2026-03-03,weekday,90
2026-03-04,weekday,102
2026-03-05,weekday,124
2026-03-06,weekday,109
2026-03-07,weekend,61
2026-03-08,weekend,57
2026-03-09,weekday,106
2026-03-10,weekday,109
2026-03-11,weekday,113
2026-03-12,weekday,102
2026-03-13,weekday,100
2026-03-14,weekend,64
2026-03-15,weekend,75
2026-03-16,weekday,106
2026-03-17,weekday,118
2026-03-18,weekday,114
2026-03-19,weekday,98
2026-03-20,weekday,92
2026-03-21,weekend,56
2026-03-22,weekend,63
2026-03-23,weekday,100
2026-03-24,weekday,86
2026-03-25,weekday,96
2026-03-26,weekday,91
2026-03-27,weekday,117
2026-03-28,weekend,85
2026-03-29,weekend,67
2026-03-30,weekday,108
