sample_id,seed,date,day_type,hour,requests
sample_1,707,2026-03-01,weekend,0,1
sample_1,707,2026-03-01,weekend,1,1
sample_1,707,2026-03-01,weekend,2,0
sample_1,707,2026-03-01,weekend,3,1
sample_1,707,2026-03-01,weekend,4,0
sample_1,707,2026-03-01,weekend,5,0
sample_1,707,2026-03-01,weekend,6,1
sample_1,707,2026-03-01,weekend,7,1
sample_1,707,2026-03-01,weekend,8,5
sample_1,707,2026-03-01,weekend,9,3
sample_1,707,2026-03-01,weekend,10,1
sample_1,707,2026-03-01,weekend,11,6
sample_1,707,2026-03-01,weekend,12,3
sample_1,707,2026-03-01,weekend,13,5
sample_1,707,2026-03-01,weekend,14,4
sample_1,707,2026-03-01,weekend,15,6
sample_1,707,2026-03-01,weekend,16,3
sample_1,707,2026-03-01,weekend,17,4
sample_1,707,2026-03-01,weekend,18,2
sample_1,707,2026-03-01,weekend,19,6
sample_1,707,2026-03-01,weekend,20,1
sample_1,707,2026-03-01,weekend,21,1
sample_1,707,2026-03-01,weekend,22,1
sample_1,707,2026-03-01,weekend,23,1
sample_1,707,2026-03-02,weekday,0,1
sample_1,707,2026-03-02,weekday,1,0
sample_1,707,2026-03-02,weekday,2,3
sample_1,707,2026-03-02,weekday,3,4
sample_1,707,2026-03-02,weekday,4,1
sample_1,707,2026-03-02,weekday,5,0
sample_1,707,2026-03-02,weekday,6,2
sample_1,707,2026-03-02,weekday,7,1
sample_1,707,2026-03-02,weekday,8,6
sample_1,707,2026-03-02,weekday,9,5
sample_1,707,2026-03-02,weekday,10,7
sample_1,707,2026-03-02,weekday,11,8
sample_1,707,2026-03-02,weekday,12,11
sample_1,707,2026-03-02,weekday,13,15
sample_1,707,2026-03-02,weekday,14,6
sample_1,707,2026-03-02,weekday,15,5
sample_1,707,2026-03-02,weekday,16,10
sample_1,707,2026-03-02,weekday,17,9
sample_1,707,2026-03-02,weekday,18,4
sample_1,707,2026-03-02,weekday,19,3
sample_1,707,2026-03-02,weekday,20,3
sample_1,707,2026-03-02,weekday,21,4
sample_1,707,2026-03-02,weekday,22,1
sample_1,707,2026-03-02,weekday,23,0
sample_1,707,2026-03-03,weekday,0,3
sample_1,707,2026-03-03,weekday,1,3
sample_1,707,2026-03-03,weekday,2,1
sample_1,707,2026-03-03,weekday,3,0
sample_1,707,2026-03-03,weekday,4,3
sample_1,707,2026-03-03,weekday,5,0
sample_1,707,2026-03-03,weekday,6,0
sample_1,707,2026-03-03,weekday,7,0
sample_1,707,2026-03-03,weekday,8,7
sample_1,707,2026-03-03,weekday,9,4
sample_1,707,2026-03-03,weekday,10,6
sample_1,707,2026-03-03,weekday,11,6
sample_1,707,2026-03-03,weekday,12,6
sample_1,707,2026-03-03,weekday,13,4
sample_1,707,2026-03-03,weekday,14,6
sample_1,707,2026-03-03,weekday,15,11
sample_1,707,2026-03-03,weekday,16,7
sample_1,707,2026-03-03,weekday,17,4
sample_1,707,2026-03-03,weekday,18,3
sample_1,707,2026-03-03,weekday,19,4
sample_1,707,2026-03-03,weekday,20,7
sample_1,707,2026-03-03,weekday,21,3
sample_1,707,2026-03-03,weekday,22,2
sample_1,707,2026-03-03,weekday,23,0
sample_1,707,2026-03-04,weekday,0,1
sample_1,707,2026-03-04,weekday,1,2
sample_1,707,2026-03-04,weekday,2,3
sample_1,707,2026-03-04,weekday,3,2
sample_1,707,2026-03-04,weekday,4,1
sample_1,707,2026-03-04,weekday,5,1
sample_1,707,2026-03-04,weekday,6,1
sample_1,707,2026-03-04,weekday,7,1
sample_1,707,2026-03-04,weekday,8,8
sample_1,707,2026-03-04,weekday,9,10
sample_1,707,2026-03-04,weekday,10,12
sample_1,707,2026-03-04,weekday,11,7
sample_1,707,2026-03-04,weekday,12,10
sample_1,707,2026-03-04,weekday,13,5
sample_1,707,2026-03-04,weekday,14,5
sample_1,707,2026-03-04,weekday,15,5
sample_1,707,2026-03-04,weekday,16,12
sample_1,707,2026-03-04,weekday,17,3
sample_1,707,2026-03-04,weekday,18,5
sample_1,707,2026-03-04,weekday,19,2
sample_1,707,2026-03-04,weekday,20,2
sample_1,707,2026-03-04,weekday,21,2
sample_1,707,2026-03-04,weekday,22,1
sample_1,707,2026-03-04,weekday,23,1
sample_1,707,2026-03-05,weekday,0,3
sample_1,707,2026-03-05,weekday,1,3
sample_1,707,2026-03-05,weekday,2,0
sample_1,707,2026-03-05,weekday,3,2
sample_1,707,2026-03-05,weekday,4,3
sample_1,707,2026-03-05,weekday,5,2
sample_1,707,2026-03-05,weekday,6,3
sample_1,707,2026-03-05,weekday,7,2
sample_1,707,2026-03-05,weekday,8,7
sample_1,707,2026-03-05,weekday,9,9
sample_1,707,2026-03-05,weekday,10,9
sample_1,707,2026-03-05,weekday,11,13
sample_1,707,2026-03-05,weekday,12,3
sample_1,707,2026-03-05,weekday,13,8
sample_1,707,2026-03-05,weekday,14,8
sample_1,707,2026-03-05,weekday,15,6
sample_1,707,2026-03-05,weekday,16,13
sample_1,707,2026-03-05,weekday,17,6
sample_1,707,2026-03-05,weekday,18,0
sample_1,707,2026-03-05,weekday,19,4
sample_1,707,2026-03-05,weekday,20,8
sample_1,707,2026-03-05,weekday,21,8
sample_1,707,2026-03-05,weekday,22,1
sample_1,707,2026-03-05,weekday,23,3
sample_1,707,2026-03-06,weekday,0,2
sample_1,707,2026-03-06,weekday,1,1
sample_1,707,2026-03-06,weekday,2,1
sample_1,707,2026-03-06,weekday,3,2
sample_1,707,2026-03-06,weekday,4,1
sample_1,707,2026-03-06,weekday,5,2
sample_1,707,2026-03-06,weekday,6,1
sample_1,707,2026-03-06,weekday,7,0
sample_1,707,2026-03-06,weekday,8,9
sample_1,707,2026-03-06,weekday,9,6
sample_1,707,2026-03-06,weekday,10,7
sample_1,707,2026-03-06,weekday,11,16
sample_1,707,2026-03-06,weekday,12,8
sample_1,707,2026-03-06,weekday,13,6
sample_1,707,2026-03-06,weekday,14,8
sample_1,707,2026-03-06,weekday,15,4
sample_1,707,2026-03-06,weekday,16,12
sample_1,707,2026-03-06,weekday,17,6
sample_1,707,2026-03-06,weekday,18,4
sample_1,707,2026-03-06,weekday,19,5
sample_1,707,2026-03-06,weekday,20,3
sample_1,707,2026-03-06,weekday,21,4
sample_1,707,2026-03-06,weekday,22,1
sample_1,707,2026-03-06,weekday,23,0
sample_1,707,2026-03-07,weekend,0,0
sample_1,707,2026-03-07,weekend,1,0
sample_1,707,2026-03-07,weekend,2,2
sample_1,707,2026-03-07,weekend,3,3
sample_1,707,2026-03-07,weekend,4,1
sample_1,707,2026-03-07,weekend,5,2
sample_1,707,2026-03-07,weekend,6,1
sample_1,707,2026-03-07,weekend,7,1
sample_1,707,2026-03-07,weekend,8,2
sample_1,707,2026-03-07,weekend,9,4
sample_1,707,2026-03-07,weekend,10,1
sample_1,707,2026-03-07,weekend,11,3
sample_1,707,2026-03-07,weekend,12,3
sample_1,707,2026-03-07,weekend,13,6
