sample_id,seed,order_id,date,warehouse,product_group,quantity,returned
sample_1,709,O00001,2026-04-14,west,filters,2,True
sample_1,709,O00002,2026-04-03,west,engine,1,False
sample_1,709,O00003,2026-04-02,east,brakes,5,False
sample_1,709,O00004,2026-04-23,north,engine,2,False
sample_1,709,O00005,2026-04-13,central,filters,7,False
sample_1,709,O00006,2026-04-16,east,suspension,3,False
sample_1,709,O00007,2026-04-07,north,brakes,3,False
sample_1,709,O00008,2026-04-30,east,engine,1,False
sample_1,709,O00009,2026-04-03,south,brakes,3,False
sample_1,709,O00010,2026-04-25,north,suspension,2,False
sample_1,709,O00011,2026-04-14,north,engine,2,False
sample_1,709,O00012,2026-04-24,central,electrical,3,False
sample_1,709,O00013,2026-04-26,central,electrical,2,False
sample_1,709,O00014,2026-04-13,east,electrical,1,False
sample_1,709,O00015,2026-04-06,central,brakes,2,False
sample_1,709,O00016,2026-04-08,north,electrical,1,False
sample_1,709,O00017,2026-04-12,central,brakes,3,False
sample_1,709,O00018,2026-04-18,central,engine,2,False
sample_1,709,O00019,2026-04-28,north,filters,5,False
sample_1,709,O00020,2026-04-15,central,engine,1,False
sample_1,709,O00021,2026-04-08,east,filters,7,False
sample_1,709,O00022,2026-04-05,south,filters,4,False
sample_1,709,O00023,2026-04-05,south,brakes,2,False
sample_1,709,O00024,2026-04-29,central,filters,5,False
sample_1,709,O00025,2026-04-21,west,electrical,2,False
sample_1,709,O00026,2026-04-26,west,filters,5,False
sample_1,709,O00027,2026-04-09,central,filters,4,False
sample_1,709,O00028,2026-04-01,south,suspension,3,False
sample_1,709,O00029,2026-04-14,east,engine,1,False
sample_1,709,O00030,2026-04-19,south,engine,2,False
sample_1,709,O00031,2026-04-17,south,filters,5,False
sample_1,709,O00032,2026-04-09,south,brakes,4,False
sample_1,709,O00033,2026-04-20,north,electrical,2,False
sample_1,709,O00034,2026-04-02,south,brakes,5,False
sample_1,709,O00035,2026-04-23,west,brakes,2,False
sample_1,709,O00036,2026-04-03,central,filters,3,False
sample_1,709,O00037,2026-04-22,west,engine,4,False
sample_1,709,O00038,2026-04-29,west,brakes,2,False
sample_1,709,O00039,2026-04-03,north,suspension,2,False
sample_1,709,O00040,2026-04-23,north,electrical,3,False
sample_1,709,O00041,2026-04-02,west,brakes,6,False
sample_1,709,O00042,2026-04-09,east,engine,1,False
sample_1,709,O00043,2026-04-18,central,brakes,3,False
sample_1,709,O00044,2026-04-14,east,electrical,3,False
sample_1,709,O00045,2026-04-05,south,suspension,3,False
sample_1,709,O00046,2026-04-16,east,suspension,4,False
sample_1,709,O00047,2026-04-20,central,filters,3,False
sample_1,709,O00048,2026-04-14,north,electrical,2,False
sample_1,709,O00049,2026-04-20,east,brakes,4,False
sample_1,709,O00050,2026-04-24,south,suspension,3,False
sample_1,709,O00051,2026-04-09,east,brakes,2,False
sample_1,709,O00052,2026-04-15,south,brakes,2,False
sample_1,709,O00053,2026-04-18,east,electrical,1,False
sample_1,709,O00054,2026-04-20,central,suspension,5,False
sample_1,709,O00055,2026-04-05,central,brakes,5,False
sample_1,709,O00056,2026-04-19,east,electrical,1,False
sample_1,709,O00057,2026-04-24,central,suspension,3,True
sample_1,709,O00058,2026-04-23,central,filters,5,False
sample_1,709,O00059,2026-04-21,west,engine,2,False
sample_1,709,O00060,2026-04-15,south,brakes,2,False
sample_1,709,O00061,2026-04-18,central,filters,3,False
sample_1,709,O00062,2026-04-09,south,suspension,5,False
sample_1,709,O00063,2026-04-05,south,electrical,3,False
sample_1,709,O00064,2026-04-21,central,filters,6,True
sample_1,709,O00065,2026-04-25,east,brakes,4,True
sample_1,709,O00066,2026-04-26,central,electrical,3,True
sample_1,709,O00067,2026-04-20,south,electrical,2,False
sample_1,709,O00068,2026-04-16,central,brakes,1,False
sample_1,709,O00069,2026-04-26,south,filters,5,False
sample_1,709,O00070,2026-04-06,south,brakes,4,False
sample_1,709,O00071,2026-04-20,central,electrical,3,True
sample_1,709,O00072,2026-04-08,south,engine,2,False
sample_1,709,O00073,2026-04-09,west,suspension,4,False
sample_1,709,O00074,2026-04-20,central,engine,5,False
sample_1,709,O00075,2026-04-14,central,brakes,3,False
sample_1,709,O00076,2026-04-20,south,filters,1,True
sample_1,709,O00077,2026-04-07,central,engine,2,False
sample_1,709,O00078,2026-04-23,east,filters,1,False
sample_1,709,O00079,2026-04-25,central,filters,2,False
sample_1,709,O00080,2026-04-05,central,electrical,4,False
sample_1,709,O00081,2026-04-30,north,electrical,2,False
sample_1,709,O00082,2026-04-01,north,filters,3,False
sample_1,709,O00083,2026-04-18,north,electrical,1,False
sample_1,709,O00084,2026-04-25,east,electrical,3,False
sample_1,709,O00085,2026-04-24,north,filters,3,False
sample_1,709,O00086,2026-04-08,east,brakes,2,False
sample_1,709,O00087,2026-04-05,north,suspension,3,False
sample_1,709,O00088,2026-04-20,south,filters,4,False
sample_1,709,O00089,2026-04-10,north,electrical,4,False
sample_1,709,O00090,2026-04-17,south,filters,3,False
sample_1,709,O00091,2026-04-14,west,filters,11,False
sample_1,709,O00092,2026-04-03,west,electrical,1,False
sample_1,709,O00093,2026-04-10,north,engine,2,False
sample_1,709,O00094,2026-04-20,north,engine,1,False
sample_1,709,O00095,2026-04-13,west,brakes,2,False
sample_1,709,O00096,2026-04-01,south,brakes,3,False
sample_1,709,O00097,2026-04-08,north,suspension,1,False
sample_1,709,O00098,2026-04-02,central,filters,2,False
sample_1,709,O00099,2026-04-12,east,suspension,2,False
sample_1,709,O00100,2026-04-24,central,brakes,3,False
sample_1,709,O00101,2026-04-05,east,brakes,3,False
sample_1,709,O00102,2026-04-05,west,suspension,3,False
sample_1,709,O00103,2026-04-14,north,filters,5,False
sample_1,709,O00104,2026-04-07,west,filters,2,False
sample_1,709,O00105,2026-04-14,south,brakes,3,False
